transcript_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
ENSDART00000184660,78,61,54,48,40
MSTRG.53.3,311,202,192,255,244
MSTRG.55.1,186,109,112,78,73
ENSDART00000194139,39,0,0,0,0
ENSDART00000194799,5,20,24,27,16
MSTRG.57.2,0,0,0,0,7
ENSDART00000130697,30,12,13,16,0
ENSDART00000097626,8,10,0,11,6
ENSDART00000176787,0,0,0,0,0
MSTRG.59.1,43,0,30,28,30
ENSDART00000166094,1,20,0,7,0
ENSDART00000137184,0,0,0,0,0
ENSDART00000135994,0,0,0,0,0
ENSDART00000136381,0,0,0,0,0
MSTRG.60.17,0,0,308,378,0
MSTRG.60.1,3581,2754,2660,806,853
MSTRG.60.3,581,0,403,365,191
MSTRG.60.2,795,530,466,1262,1117
ENSDART00000048828,4433,2075,1872,764,662
MSTRG.60.5,2304,1178,972,1035,712
ENSDART00000141426,2,1,1,1,1
ENSDART00000123205,1,1,1,1,1
ENSDART00000081047,947,1595,1179,2462,2662
MSTRG.60.10,1150,1,545,343,500
MSTRG.60.11,172,219,104,533,138
ENSDART00000147682,1,0,1,1,1
ENSDART00000132968,3,1,1,2,1
MSTRG.61.1,217,155,131,315,258
MSTRG.62.1,249,185,146,347,308
ENSDART00000006449,583,785,4,7,382
ENSDART00000144313,3,2,2,1,8
ENSDART00000103850,606,350,331,408,317
MSTRG.60.20,163,0,43,28,119
ENSDART00000006013,383,287,202,154,142
MSTRG.63.1,36,20,22,24,15
MSTRG.64.1,36,22,11,16,6
MSTRG.65.1,31,27,15,25,18
ENSDART00000137332,0,0,2,0,0
ENSDART00000131675,0,0,0,0,0
ENSDART00000138723,0,0,0,0,0
ENSDART00000135193,0,0,0,0,0
ENSDART00000143790,0,0,0,0,0
ENSDART00000136696,0,0,0,0,0
ENSDART00000152442,0,0,0,0,0
ENSDART00000139418,0,0,0,0,0
ENSDART00000142874,0,0,0,0,0
ENSDART00000131463,0,0,0,0,0
MSTRG.66.1,138,85,78,71,60
MSTRG.66.2,1,3,0,9,0
ENSDART00000143337,1,1,1,1,2
ENSDART00000122187,1,0,0,0,20
MSTRG.66.9,44,18,30,17,5
ENSDART00000165669,5,4,0,0,0
ENSDART00000147773,4,5,0,0,23
ENSDART00000110331,40,28,24,29,27
