baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,direction
5940.7273733303355,28.246307703469036,4.407393771749844,6.408845945311247,1.4662525709448634e-10,2.8403756053486916e-07,MSTRG.11896,up_in_cold
428.02062274916153,24.785495188515377,4.407504784974112,5.623475503194708,,,MSTRG.23120,up_in_cold
483.6208453547446,24.010939843257624,4.407490969552619,5.447757013940031,,,MSTRG.7814,up_in_cold
351.79777212259853,23.735384522390863,4.407530732185541,5.385188661094443,,,MSTRG.23390,up_in_cold
146.1780397957694,23.288894052085862,4.407735427982042,5.2836415507697625,,,MSTRG.11881,up_in_cold
144.35839614685938,23.2719601878343,4.407739842983658,5.279794410933563,,,MSTRG.12961,up_in_cold
134.45144739168276,23.172841617454967,4.40776597580231,5.2572758500947865,,,MSTRG.20919,up_in_cold
135.4623605299661,22.87494108461953,4.407762905520581,5.189694086306095,,,MSTRG.16883,up_in_cold
72.60000765932253,22.314398355418394,4.408090370110863,5.062146299613451,,,MSTRG.18134,up_in_cold
59.84605778637308,22.041256492652664,4.408240631567109,5.000012098889688,5.732671695357075e-07,0.0002855607562077226,MSTRG.17861,up_in_cold
56.187128266693776,21.957394339759993,4.408296410732369,4.980925122526441,6.328102325492264e-07,0.0003048822931842955,MSTRG.10092,up_in_cold
53.98276158432977,21.902877865287948,4.308034194850632,5.0841931318624,3.691921304242782e-07,0.00019213970739946504,MSTRG.22135,up_in_cold
47.660676895483434,21.726346369773314,4.356530518570484,4.987075443902185,6.13001325158061e-07,0.0003010527212244568,MSTRG.21667,up_in_cold
47.00479602077495,21.7093654976974,4.36103101882889,4.978035103159442,6.423300873116224e-07,0.0003048822931842955,MSTRG.10155,up_in_cold
46.56754210430263,21.69410349320046,4.364084805805437,4.971054518542196,6.65897196217638e-07,0.0003095889244655043,MSTRG.2036,up_in_cold
45.91166122959414,21.677746776824858,4.368748181834831,4.962004188513429,6.976949066514513e-07,0.0003201042592109139,MSTRG.18808,up_in_cold
45.491905208329825,21.660099321510316,4.377917370460916,4.9475806619049765,7.514156929828326e-07,0.00034027420517686226,MSTRG.4891,up_in_cold
49.409692561372744,21.623315793023615,4.344977235572552,4.976623494363197,6.470300179425239e-07,0.0003048822931842955,MSTRG.13870,up_in_cold
43.469264946183145,21.600857489990513,4.376915040752702,4.935178610703806,8.007744303415713e-07,0.00035344561533645884,MSTRG.18502,up_in_cold
43.28813773076019,21.595094156845075,4.387119410234933,4.92238577013992,8.549546980166527e-07,0.00037156937597320193,MSTRG.15903,up_in_cold
40.44598727369008,21.5013524166513,4.408651012061623,4.877081982181347,1.0766669530604397e-06,0.00044745698487450014,MSTRG.24556,up_in_cold
40.437249074070955,21.500333231626755,4.408651389976425,4.8768503857007675,1.077931306589177e-06,0.00044745698487450014,MSTRG.18232,up_in_cold
39.51822068602389,21.4702975708075,4.408680833886435,4.870004969690796,1.1159544188520663e-06,0.00045024831508011384,MSTRG.20225,up_in_cold
39.35285248250926,21.46293547531902,4.408686169888639,4.868329168429144,1.125457530676078e-06,0.00045024831508011384,MSTRG.14049,up_in_cold
39.35285248250926,21.46293547531902,4.408686169888639,4.868329168429144,1.125457530676078e-06,0.00045024831508011384,MSTRG.3830,up_in_cold
38.36943520096506,21.42803927261939,4.4087196251305585,4.860376956265353,1.1716244591741096e-06,0.0004561963601848622,MSTRG.12955,up_in_cold
37.822463774856125,21.394227524236825,4.408738802081514,4.852686558372633,1.2180011523538526e-06,0.00046670859540029106,ENSDARG00000040930|deptor,up_in_cold
37.22064971590622,21.384058470976573,4.408760811928137,4.850355776417007,1.232402176170968e-06,0.0004670938204446248,MSTRG.5978|gbe1b,up_in_cold
36.19069035054318,21.345066402559105,4.408799636071145,4.841468917734836,1.2888283757965157e-06,0.00048322749070590004,MSTRG.22983,up_in_cold
35.6361941924945,21.3225075806566,4.408821837919223,4.836327791081691,1.3225975201714869e-06,0.0004906133290516976,MSTRG.11552,up_in_cold
35.17977721225985,21.305639534129345,4.408840269938035,4.832481611865877,1.3484156984900419e-06,0.0004946421141870736,MSTRG.16667,up_in_cold
50.34347428650979,21.303357907509422,4.329493714127357,4.920519421935062,8.631483396090899e-07,0.00037156937597320193,MSTRG.20617,up_in_cold
34.69332164877679,21.287954263343842,4.408861017327456,4.828447569492241,1.3760155173978646e-06,0.0004946421141870736,MSTRG.13274|prlra,up_in_cold
34.69332164877679,21.287954263343842,4.408861017327456,4.828447569492241,1.3760155173978646e-06,0.0004946421141870736,MSTRG.18049,up_in_cold
33.76449881866319,21.24916871285655,4.4089012394103575,4.819606418695465,1.4384170957040715e-06,0.0005117976092867885,MSTRG.754,up_in_cold
32.165993581647356,21.18144013894181,4.4089769703983075,4.804162117686969,1.5540088169670347e-06,0.0005473407418062982,MSTRG.767,up_in_cold
31.700908944243572,21.16152773606576,4.40900015253449,4.7996205497750255,1.5896652749210706e-06,0.0005543003847122281,MSTRG.1683,up_in_cold
30.607774153062756,21.109997616764446,4.409057836802388,4.787870424506429,1.6856041863935742e-06,0.0005819339839144311,MSTRG.10006,up_in_cold
29.92302889318654,21.082623331307783,4.4090958087204735,4.7816205965880325,1.7388763516760088e-06,0.0005944399951626544,MSTRG.4369,up_in_cold
29.296012403645783,21.05304851909106,4.409132701418185,4.774872961369343,1.7982073310267525e-06,0.0006021395358893348,MSTRG.20582,up_in_cold
29.077385445409625,21.042057213189064,4.409145823551748,4.772365908333424,1.8207432769471656e-06,0.0006021395358893348,MSTRG.20345,up_in_cold
