baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
91.48622639761935,-1.0164300014646666,0.2732550613820282,-3.719711526380958,0.00019945044953397807,0.0026020578785961573,MSTRG.5|hikeshi
115.84531831109317,-1.0090209215307184,0.3257703548856102,-3.0973380677472093,0.0019526704653094777,0.017752410310924057,MSTRG.15|f7
141.9466653057829,-1.2398574230759942,0.24914825665013907,-4.97638410056,6.478303559494213e-07,1.7768704966991477e-05,MSTRG.16|f7i
15.644774842662255,-7.079963837352061,1.6282766067077128,-4.348133362713701,1.3730110992798278e-05,0.0002564213403338226,MSTRG.35
1803.2630790872795,-1.7404927166745752,0.22092273295066361,-7.8782870980654645,3.3189941993053215e-15,3.222137447603523e-13,MSTRG.60|atp1a1a.4
19.59041989141438,8.122813713207302,2.285176607672226,3.5545671550880833,0.0003786018115560294,0.004486346968005021,MSTRG.90
168.32183444256432,-3.4583059043140985,0.3001688172104652,-11.521203089824239,1.0316044252315648e-30,2.9170661957599542e-28,MSTRG.94|cpo
102.79842425347083,1.2326511033587495,0.2567027253333745,4.8018621608240855,1.571968899029863e-06,3.867933694995511e-05,MSTRG.98|abcb6a
296.4988203509282,2.3330787807588114,0.16248039612754595,14.359140156990762,9.337847269617548e-47,6.653963207384073e-44,MSTRG.113|lancl1
8.853899651365222,-6.246824142975212,1.7551196681075483,-3.5592012650116494,0.0003719843896305131,0.004417585786447361,MSTRG.126|grapb
70.74730194725917,1.4924872356516348,0.30954915567262964,4.821487018462576,1.4249199545008411e-06,3.552727295934952e-05,MSTRG.136|ptcd1
60.842983634046355,-1.1190646778644957,0.33967775781129533,-3.2944891213223952,0.0009860076118665296,0.010080477820141343,MSTRG.140|fscn1b
50.673877774689934,-1.24778359993098,0.380522788399302,-3.279129760348589,0.0010412774455803779,0.010585064036450634,MSTRG.157|zgc:136472
74.30638697293587,1.309038953063171,0.4060768377678627,3.223623785731641,0.001265795770992193,0.012403475666853918,MSTRG.164|pmm2
7.615348250941811,-6.028505579294091,1.8586215337043688,-3.2435358516904933,0.0011805595227996186,0.011752488191625485,MSTRG.171|si:dkeyp-75b4.10
19.684460073981022,-7.40242833932098,1.5650858345612746,-4.729726750990645,2.248222259774792e-06,5.259482002200661e-05,MSTRG.196|eif3bb
143.37069788225648,-1.582330881334025,0.3505457424489485,-4.513907001921345,6.364413368620169e-06,0.00013183586273870232,MSTRG.210|spink4
77.73244491284723,-1.2338357019018202,0.3251639350909934,-3.7945035372897227,0.00014793917293266825,0.00201334025684417,MSTRG.219|C1H4orf33
29.675297970734153,8.721451236601204,1.4381437376270234,6.064380776703056,1.3246299504163136e-09,6.317970616249376e-08,MSTRG.220
45.783339524912414,-8.624062457786328,1.8092983245684497,-4.766523209953959,1.8743214721003192e-06,4.503047857684576e-05,MSTRG.221
45.84949871427403,-1.90595983822562,0.3947952790133393,-4.8277168941557225,1.3810723717933294e-06,3.460353553771065e-05,MSTRG.224
153.26925280516795,-2.1851168655098943,0.3545661703845809,-6.1627900460436,7.14742478112086e-10,3.556642423555239e-08,MSTRG.237|crmp1
49.653160121333556,-1.205457254647088,0.35128895428072227,-3.431526212132996,0.0006001951243440368,0.00662669726843932,MSTRG.238
162.5812881698194,1.3805644169671052,0.5035488440886107,2.7416693200156845,0.00611278464703845,0.04452011532897239,MSTRG.239|fip1l1b
216.5266189872873,-2.263770604711984,0.2134983013321085,-10.603225368011536,2.878771936144877e-26,6.410485332056615e-24,MSTRG.242|slc34a2a
53.90500065063259,1.1567215536342021,0.3518412206211466,3.2876237513958877,0.001010367721010421,0.010305866456306982,MSTRG.253|CT573256.1
169.65629495679426,-1.221447181817737,0.21437608493815877,-5.697683965868156,1.2144590584926434e-08,4.734131487421706e-07,MSTRG.276|cyp4v8
96.4851400756578,1.1938360117052167,0.2465995835863169,4.841192326212262,1.2906238419294395e-06,3.263565426834918e-05,MSTRG.349|exosc9
226.55266029209764,1.1504224216819008,0.16145927989813377,7.1251551623896345,1.0396350326271987e-12,7.621637155858942e-11,MSTRG.359|ecpas
36.59556028555501,-1.7492660700171765,0.48611565934750894,-3.5984565326801796,0.0003201113383826795,0.0038832982210543028,MSTRG.381|msmo1
35.96654314537015,-1.822554639593244,0.46356600432499195,-3.9315968440073674,8.438349055785945e-05,0.001254275922021683,MSTRG.392|adamtsl7
117.19829704924412,-1.0379782948100749,0.2320095711849295,-4.4738598046143805,7.682011984782282e-06,0.00015551273011693632,MSTRG.416|si:dkey-92j12.5
4.778661424491295,-5.354928780222536,1.9611728803477955,-2.730472582953977,0.006324359337604491,0.045761697570980996,ENSDARG00000054680|chrna9
36.915033624928036,-1.6262196025532787,0.4774106822671672,-3.406332666941077,0.0006584189793958518,0.0071673723852413085,MSTRG.446|mnd1
1990.4297334246264,-1.258165372038079,0.08639882553760139,-14.562297163293225,4.879031215073372e-48,3.7790218078662864e-45,MSTRG.457|fabp2
13.225005792806305,-6.827074051723119,1.6520540079923058,-4.132476310517153,3.588757644630998e-05,0.0005986135118003644,MSTRG.462|si:ch211-145b13.5
9.756522123994122,-6.396189282056637,1.6608857876127545,-3.8510711150404204,0.0001176023399300808,0.001661401177386538,MSTRG.515|si:dkey-1h24.2
48.811334274456144,-1.2082331842744272,0.3780537578375019,-3.1959295714599394,0.0013938112952249565,0.013444176290520589,MSTRG.543|eef1a1l2
76.39294089091057,-2.356038121568867,0.40109468560930767,-5.8740197915855745,4.253525571086906e-09,1.8171326447512634e-07,MSTRG.550|as3mt
