gene_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
MSTRG.100|retreg2,250,177,50,72,53
MSTRG.100,67,0,141,259,260
MSTRG.101,59,41,33,80,77
MSTRG.102|mdh1b,9,0,0,0,0
MSTRG.103|fastkd2,0,0,0,0,0
MSTRG.103,147,104,119,160,159
MSTRG.103|gtf3c3,138,100,90,112,95
MSTRG.105|LO018629.1,0,0,0,2,0
MSTRG.104,67,43,40,42,34
MSTRG.105,323,197,179,218,226
MSTRG.106|hecw2b,126,67,64,87,91
MSTRG.108|CU571320.1,0,0,0,0,0
MSTRG.107|klf7a,112,78,53,87,99
MSTRG.110|ube2f,195,150,118,180,182
MSTRG.109|si:ch211-93g23.2,49,25,32,20,17
ENSDARG00000096530|AL929396.1,0,0,3,0,0
MSTRG.111|erbb4a,80,63,48,33,29
MSTRG.112,98,49,47,66,54
MSTRG.113,0,0,0,3,0
MSTRG.113|lancl1,159,100,105,548,538
MSTRG.113|mylz3,85056,46727,43969,45420,42180
MSTRG.114|pcnp,163,92,107,66,61
ENSDARG00000021688|mxa,0,0,0,0,0
ENSDARG00000004953|mxb,0,0,0,0,0
MSTRG.115|efnb2b,88,63,50,73,79
MSTRG.116|arglu1b,339,305,259,224,211
MSTRG.117|en1b,92,68,48,68,62
MSTRG.118|radil,105,69,67,77,58
MSTRG.119|mmd2b,19,15,14,19,11
MSTRG.120|CR855320.6,0,1,0,0,0
MSTRG.120,35,25,16,20,16
MSTRG.121|CR855320.4,1,0,1,0,0
MSTRG.120|CR855320.5,1,1,0,0,0
ENSDARG00000093857|si:dkey-79f11.10,0,0,0,0,0
ENSDARG00000095673|si:dkey-79f11.8,0,0,0,0,0
MSTRG.122|si:dkey-79f11.7,14,15,0,0,0
MSTRG.122,8,0,0,0,0
ENSDARG00000107486|CR855320.3,0,0,0,0,0
MSTRG.123|si:dkeyp-9d4.2,0,0,0,0,6
MSTRG.123,39,23,3,27,33
MSTRG.123|si:dkeyp-9d4.3,663,421,451,540,500
MSTRG.124|SLC5A10,37,19,22,10,7
MSTRG.125|FAM83G,161,132,69,240,101
MSTRG.125,128,60,106,0,92
MSTRG.126|grapb,14,17,14,0,0
MSTRG.127,4,0,0,0,0
MSTRG.128|cacna1hb,44,29,0,22,25
MSTRG.129|syngr3b,252,160,148,280,249
MSTRG.130|myo15ab,0,0,0,0,0
MSTRG.131|AL928835.1,0,5,0,4,0
MSTRG.132|alkbh5,210,149,136,222,241
MSTRG.133|mief2,151,87,94,67,74
MSTRG.135|zgc:112980,64,43,38,31,28
MSTRG.134|smcr8b,34,22,26,43,50
MSTRG.136|ptcd1,61,42,30,115,105
ENSDARG00000100771|si:ch211-160d14.15,0,0,0,0,0
MSTRG.137|SLC29A4,66,41,42,0,12
ENSDARG00000079332|AL928650.1,0,0,0,0,0
MSTRG.138|fbxl18,47,24,26,28,27
MSTRG.139|actb1,19955,11180,10592,9378,8488
MSTRG.140|fscn1b,99,79,68,38,30
MSTRG.141|abcg2b,23,12,0,0,0
MSTRG.142,556,327,319,351,362
MSTRG.143|grin2ab,139,90,94,54,59
ENSDARG00000094298|CT573178.1,0,2,0,0,0
ENSDARG00000089873|socs1b,0,2,2,2,1
MSTRG.144|CU467110.1,13,12,11,15,9
MSTRG.145,120,9,70,40,12
MSTRG.145|prkcba,152,172,88,86,115
MSTRG.145|BX004779.3,0,0,0,0,0
ENSDARG00000058460|cacng3a,5,0,4,0,0
MSTRG.146|si:ch211-14k19.8,101,68,55,67,55
MSTRG.146|vap,5,0,1,1,1
MSTRG.147|ndufab1a,247,155,162,239,213
MSTRG.148|palb2,13,10,8,0,6
MSTRG.149|palb2,7,0,4,0,0
ENSDARG00000058464|rasd3,8,4,5,6,2
MSTRG.150|plk1,266,171,147,214,197
MSTRG.151|BX004779.2,0,0,0,0,0
MSTRG.152|ern2,63,36,37,32,30
MSTRG.153|chtf18,59,33,26,28,17
MSTRG.154|chtf18,0,0,0,0,0
MSTRG.155|gng13a,12,12,12,7,0
MSTRG.156|si:dkeyp-57d7.4,82,50,57,34,33
MSTRG.157|zgc:136472,91,56,64,31,22
ENSDARG00000063169|ubn1,15,10,7,9,6
ENSDARG00000092791|BX323038.1,1,0,0,0,0
MSTRG.158|uncx4.1,136,94,83,112,95
MSTRG.159|micall2b,49,30,32,42,39
MSTRG.160,0,14,0,2,19
MSTRG.160|si:ch73-12o23.1,276,180,169,139,125
MSTRG.162|ugt5b5,56,44,36,20,24
MSTRG.162|ugt5b2,277,281,207,165,135
MSTRG.162,429,430,362,115,223
MSTRG.162|ugt5b4,244,64,90,136,52
MSTRG.162|ugt5b1,111,5,7,50,0
MSTRG.161|elfn1b,89,58,60,46,66
MSTRG.163|mad1l1,120,78,76,137,126
MSTRG.164|pmm2,76,50,28,104,116
MSTRG.165|INTS15,121,59,67,58,68
MSTRG.165,0,0,0,0,6
MSTRG.166|rgs11,60,42,43,43,41
MSTRG.167|pgap6,136,64,72,112,87
MSTRG.167,34,56,27,28,29
MSTRG.168|pdia2,649,743,635,497,413
MSTRG.170|si:dkeyp-75b4.7,0,0,0,0,0
MSTRG.169|si:dkeyp-75b4.8,7,0,0,0,0
MSTRG.171|si:dkeyp-75b4.10,10,16,12,0,0
MSTRG.172|trim2b,268,165,171,196,194
MSTRG.173|rnf175,245,137,161,153,154
MSTRG.174|fgb,931,824,765,807,804
MSTRG.175|fga,1197,1033,918,975,915
MSTRG.176|si:ch73-132f6.5,173,108,95,85,83
MSTRG.176|lratb.1,20,19,18,12,19
MSTRG.176|lratb.2,13,0,0,8,0
MSTRG.177,0,0,0,0,3
MSTRG.177|npy2rl,30,21,20,18,15
MSTRG.178|eif3f,3114,2068,1955,2050,1868
MSTRG.179|zgc:77880,77,50,47,63,44
MSTRG.179,1,1,0,5,1
MSTRG.180|pip4p1b,26,23,28,31,35
ENSDARG00000070495|FRMD7,2,0,0,0,0
MSTRG.181|dachb,46,33,32,28,33
MSTRG.183|trpc5a,12,10,8,9,13
MSTRG.182|cnpy3,47,44,32,53,57
ENSDARG00000067992|si:dkey-31e10.1,5,3,0,0,0
ENSDARG00000070502|si:dkey-31e10.5,8,5,0,0,0
ENSDARG00000096564|CU915827.1,6,0,0,0,0
MSTRG.184|MPC2,133,113,97,111,101
MSTRG.185|atp1b1b,710,553,509,502,452
MSTRG.186|cnga3b,0,0,0,0,0
MSTRG.186,43,23,17,36,25
ENSDARG00000087107|si:ch73-222h13.1,0,0,0,0,0
ENSDARG00000099342|crfb15,6,7,5,0,0
MSTRG.187|dmd,342,184,182,188,435
MSTRG.187,893,497,401,531,217
MSTRG.188|BX323090.1,0,0,0,0,0
MSTRG.189|BX004756.1,0,0,0,0,0
MSTRG.190|knl1,0,0,0,0,0
MSTRG.190,98,81,70,80,60
MSTRG.191|knstrn,66,51,50,59,67
MSTRG.192|sdk1b,72,59,48,51,46
MSTRG.193|CU929103.1,0,0,0,0,0
MSTRG.194|CU929311.1,0,0,0,0,0
MSTRG.192,9,5,0,7,14
ENSDARG00000092242,1,0,0,1,1
ENSDARG00000094981|chst12b,1,2,0,1,4
ENSDARG00000037619|GNA12,0,0,0,0,0
MSTRG.195|brat1,123,66,76,68,49
MSTRG.196|eif3bb,40,30,33,0,0
MSTRG.197,0,9,0,5,0
MSTRG.197|si:dkey-26i13.8,83,54,39,51,44
ENSDARG00000077198|chst12b,8,2,2,1,1
MSTRG.198|ttyh3b,1635,741,865,550,455
MSTRG.198,119,406,160,375,447
MSTRG.199|iqce,94,79,65,78,72
MSTRG.200,0,0,40,0,0
MSTRG.200|snx8b,82,49,19,65,57
MSTRG.201|grk4,363,255,206,318,233
MSTRG.201,0,0,0,0,40
MSTRG.202,0,0,0,0,29
MSTRG.202|tspan5b,249,213,182,160,134
MSTRG.203,109,88,66,56,48
MSTRG.204,76,65,54,39,32
MSTRG.205,470,32,87,149,301
MSTRG.205|slc24a2,41,271,218,344,109
MSTRG.206|saraf,136,114,94,118,108
MSTRG.207|pla2g12a,65,42,38,57,36
MSTRG.208|xpa,38,36,19,31,48
MSTRG.208,30,0,18,5,0
MSTRG.209|mttp,967,629,549,546,546
MSTRG.210|spink4,205,195,202,65,59
MSTRG.211|b4galt1,51,35,47,37,36
MSTRG.212,0,0,36,0,0
MSTRG.212|stra6l,70,37,0,25,25
ENSDARG00000032808|tdrd7a,0,0,6,0,0
MSTRG.213,0,2,6,0,0
MSTRG.213|tmod1,58,42,40,64,50
MSTRG.214|cplx2l,507,537,492,586,623
MSTRG.214,291,0,0,86,0
MSTRG.215|gne,197,217,8,6,139
MSTRG.215,124,0,205,212,78
MSTRG.216,0,0,0,67,0
MSTRG.216|nansa,168,132,125,82,134
MSTRG.217|clta,964,657,594,743,698
MSTRG.218|sclt1,47,35,40,49,46
MSTRG.219|C1H4orf33,153,102,74,45,37
MSTRG.220,0,0,0,70,71
MSTRG.220|pcdh10a,976,578,584,546,453
ENSDARG00000098668|BX323031.1,0,0,0,0,0
MSTRG.221|pcdh18a,228,87,184,217,184
MSTRG.221,87,131,23,0,0
MSTRG.222|noctb,36,21,14,37,26
MSTRG.223|elf2b,231,139,139,184,173
MSTRG.224,93,58,58,18,15
MSTRG.225,40,30,26,0,10
MSTRG.226|hpf1,113,58,70,49,48
MSTRG.228|CR388002.1,0,0,0,0,0
MSTRG.227,55,45,11,22,7
MSTRG.227|ank2a,603,374,389,366,337
MSTRG.229,168,136,137,123,97
MSTRG.230,629,357,407,362,256
MSTRG.230|camk2d2,43,118,0,26,96
MSTRG.231|cxcl8a,10,8,0,0,0
MSTRG.232|pde5aa,0,0,0,5,0
MSTRG.233|ppp2r2ca,0,52,0,0,0
MSTRG.233,350,182,208,272,284
MSTRG.234,88,50,46,59,68
MSTRG.236|BX530018.3,0,0,0,0,0
